site,x,y,date,year,month,rainfall,sun_hours,tasmin,tasmax
Raindrop_Wytham,446500,208500,16/04/2008,2008,4,52.28078494,160.9432482,4.099130746,12.58539098
Raindrop_Wytham,446500,208500,16/05/2008,2008,5,107.3152967,172.3231113,9.129360714,18.20745911
Raindrop_Wytham,446500,208500,16/06/2008,2008,6,75.56745417,222.986522,10.40715123,19.17146667
Raindrop_Wytham,446500,208500,16/07/2008,2008,7,127.675092,196.95792,12.22858507,21.22480442
Raindrop_Wytham,446500,208500,16/08/2008,2008,8,95.12915003,139.8233344,13.3968923,19.99003898
Raindrop_Wytham,446500,208500,16/09/2008,2008,9,81.99283779,114.4995329,9.879642989,17.29581664
Raindrop_Wytham,446500,208500,16/10/2008,2008,10,40.8288657,130.9345605,5.627766583,13.86262694
Raindrop_Wytham,446500,208500,16/11/2008,2008,11,91.81057425,67.14017299,4.500239565,9.605785099
Raindrop_Wytham,446500,208500,16/12/2008,2008,12,36.91271003,73.98678401,0.998757064,6.265896052
Raindrop_Wytham,446500,208500,16/01/2009,2009,1,50.61015282,68.76815329,-0.321285446,5.785696802
Raindrop_Wytham,446500,208500,16/02/2009,2009,2,59.36427922,63.90789271,1.367617834,6.877424767
Raindrop_Wytham,446500,208500,16/03/2009,2009,3,18.64471132,159.9250213,2.636195182,11.64311199
Raindrop_Wytham,446500,208500,16/04/2009,2009,4,42.23999524,167.9985991,5.58393003,14.7728577
Raindrop_Wytham,446500,208500,16/05/2009,2009,5,55.52483839,224.6540968,7.885510542,17.31545803
Raindrop_Wytham,446500,208500,16/06/2009,2009,6,67.33334551,202.1712483,10.15262173,20.63158386
Raindrop_Wytham,446500,208500,16/07/2009,2009,7,92.42559216,209.9834779,12.5703983,21.09434349
Raindrop_Wytham,446500,208500,16/08/2009,2009,8,54.69157896,188.5930494,12.81782401,21.49927184
Raindrop_Wytham,446500,208500,16/09/2009,2009,9,11.09499214,162.2789353,10.34400788,18.97395526
Raindrop_Wytham,446500,208500,16/10/2009,2009,10,53.00530066,108.3451866,7.981601924,15.23851567
Raindrop_Wytham,446500,208500,16/11/2009,2009,11,116.6540971,73.34060041,6.498204552,11.43156069
Raindrop_Wytham,446500,208500,16/12/2009,2009,12,80.64244097,61.84393256,0.332225553,5.88267057
Raindrop_Wytham,446500,208500,16/01/2010,2010,1,66.87164773,59.31245094,-1.164718832,3.720843743
Raindrop_Wytham,446500,208500,16/02/2010,2010,2,65.63647837,59.27281618,0.797212352,6.031776234
Raindrop_Wytham,446500,208500,16/03/2010,2010,3,53.75412584,129.1902674,2.523597922,10.1997893
Raindrop_Wytham,446500,208500,16/04/2010,2010,4,22.11159795,208.6230299,4.141252306,14.61753908
Raindrop_Wytham,446500,208500,16/05/2010,2010,5,35.93575191,206.7657326,6.541830582,16.33388479
Raindrop_Wytham,446500,208500,16/06/2010,2010,6,39.79017431,230.3905168,10.35578365,21.66017802
Raindrop_Wytham,446500,208500,16/07/2010,2010,7,13.34906785,178.7439646,13.54499915,22.86796501
Raindrop_Wytham,446500,208500,16/08/2010,2010,8,144.8950521,141.2469504,11.79025879,20.20829823
Raindrop_Wytham,446500,208500,16/09/2010,2010,9,50.00384842,122.7533306,9.960574606,17.97942039
Raindrop_Wytham,446500,208500,16/10/2010,2010,10,47.47332196,122.4947919,6.963215852,13.93293919
Raindrop_Wytham,446500,208500,16/11/2010,2010,11,46.22346416,54.05289212,2.635518014,7.80299973
Raindrop_Wytham,446500,208500,16/12/2010,2010,12,33.69877319,31.15388993,-3.102907444,2.319495962
Raindrop_Wytham,446500,208500,16/01/2011,2011,1,67.51652943,49.34029019,1.523654437,6.333860895
Raindrop_Wytham,446500,208500,16/02/2011,2011,2,53.18987723,34.3787836,3.94120146,9.252384141
Raindrop_Wytham,446500,208500,16/03/2011,2011,3,11.34794942,140.6846302,2.805812787,11.44706711
Raindrop_Wytham,446500,208500,16/04/2011,2011,4,1.60894414,210.5131421,6.717440779,18.15726717
Raindrop_Wytham,446500,208500,16/05/2011,2011,5,49.42299233,207.1344018,7.912567639,17.70381482
Raindrop_Wytham,446500,208500,16/06/2011,2011,6,46.67777858,187.1875834,9.573126915,19.06595862
Raindrop_Wytham,446500,208500,16/07/2011,2011,7,45.45323061,173.2369666,10.6034661,20.74100681
